sample_id,sr_method,sr_filename,sr_path,gt_path,lr_path,content_fidelity,perceptual_enhancement,final_rr_score
RealESRGAN:ava_images___295451,RealESRGAN,ava_images___295451.png,dataset/sr/RealESRGAN/ava_images___295451.png,dataset/hr/ava_images___295451.png,dataset/lr/ava_images___295451.png,0.8541926145553589,0.8656061291694641,0.8598993718624115
RealESRGAN:ava_images___308473,RealESRGAN,ava_images___308473.png,dataset/sr/RealESRGAN/ava_images___308473.png,dataset/hr/ava_images___308473.png,dataset/lr/ava_images___308473.png,0.927943229675293,0.943343997001648,0.9356436133384705
RealESRGAN:ava_images___321917,RealESRGAN,ava_images___321917.png,dataset/sr/RealESRGAN/ava_images___321917.png,dataset/hr/ava_images___321917.png,dataset/lr/ava_images___321917.png,0.9128814935684204,0.9256045818328857,0.9192430377006531
RealESRGAN:ava_images___360165,RealESRGAN,ava_images___360165.png,dataset/sr/RealESRGAN/ava_images___360165.png,dataset/hr/ava_images___360165.png,dataset/lr/ava_images___360165.png,0.9582041501998901,0.9629079699516296,0.9605560600757599
RealESRGAN:ava_images___426629,RealESRGAN,ava_images___426629.png,dataset/sr/RealESRGAN/ava_images___426629.png,dataset/hr/ava_images___426629.png,dataset/lr/ava_images___426629.png,0.923882007598877,0.9122219085693359,0.9180519580841064
RealESRGAN:ava_images___436880,RealESRGAN,ava_images___436880.png,dataset/sr/RealESRGAN/ava_images___436880.png,dataset/hr/ava_images___436880.png,dataset/lr/ava_images___436880.png,0.9000270366668701,0.9026373624801636,0.9013321995735168
RealESRGAN:ava_images___46021,RealESRGAN,ava_images___46021.png,dataset/sr/RealESRGAN/ava_images___46021.png,dataset/hr/ava_images___46021.png,dataset/lr/ava_images___46021.png,0.9541638493537903,0.9640173316001892,0.9590905904769897
RealESRGAN:ava_images___472713,RealESRGAN,ava_images___472713.png,dataset/sr/RealESRGAN/ava_images___472713.png,dataset/hr/ava_images___472713.png,dataset/lr/ava_images___472713.png,0.8284615874290466,0.8364313840866089,0.8324464857578278
RealESRGAN:ava_images___501777,RealESRGAN,ava_images___501777.png,dataset/sr/RealESRGAN/ava_images___501777.png,dataset/hr/ava_images___501777.png,dataset/lr/ava_images___501777.png,0.9469354152679443,0.9566713571548462,0.9518033862113953
RealESRGAN:ava_images___564572,RealESRGAN,ava_images___564572.png,dataset/sr/RealESRGAN/ava_images___564572.png,dataset/hr/ava_images___564572.png,dataset/lr/ava_images___564572.png,0.9444559216499329,0.9690503478050232,0.956753134727478
RealESRGAN:ava_images___588008,RealESRGAN,ava_images___588008.png,dataset/sr/RealESRGAN/ava_images___588008.png,dataset/hr/ava_images___588008.png,dataset/lr/ava_images___588008.png,0.9431246519088745,0.9412834644317627,0.9422040581703186
RealESRGAN:ava_images___645845,RealESRGAN,ava_images___645845.png,dataset/sr/RealESRGAN/ava_images___645845.png,dataset/hr/ava_images___645845.png,dataset/lr/ava_images___645845.png,0.9580352306365967,0.9557693004608154,0.956902265548706
RealESRGAN:ava_images___699615,RealESRGAN,ava_images___699615.png,dataset/sr/RealESRGAN/ava_images___699615.png,dataset/hr/ava_images___699615.png,dataset/lr/ava_images___699615.png,0.915679931640625,0.9035601615905762,0.9096200466156006
RealESRGAN:ava_images___710191,RealESRGAN,ava_images___710191.png,dataset/sr/RealESRGAN/ava_images___710191.png,dataset/hr/ava_images___710191.png,dataset/lr/ava_images___710191.png,0.9683073163032532,0.9678397178649902,0.9680735170841217
RealESRGAN:ava_images___737450,RealESRGAN,ava_images___737450.png,dataset/sr/RealESRGAN/ava_images___737450.png,dataset/hr/ava_images___737450.png,dataset/lr/ava_images___737450.png,0.9588387608528137,0.9568263292312622,0.957832545042038
RealESRGAN:ava_images___74410,RealESRGAN,ava_images___74410.png,dataset/sr/RealESRGAN/ava_images___74410.png,dataset/hr/ava_images___74410.png,dataset/lr/ava_images___74410.png,0.8869983553886414,0.9237329959869385,0.9053656756877899
RealESRGAN:ava_images___751927,RealESRGAN,ava_images___751927.png,dataset/sr/RealESRGAN/ava_images___751927.png,dataset/hr/ava_images___751927.png,dataset/lr/ava_images___751927.png,0.9644558429718018,0.9597529768943787,0.9621044099330902
RealESRGAN:ava_images___773899,RealESRGAN,ava_images___773899.png,dataset/sr/RealESRGAN/ava_images___773899.png,dataset/hr/ava_images___773899.png,dataset/lr/ava_images___773899.png,0.8947855234146118,0.8968279361724854,0.8958067297935486
RealESRGAN:ava_images___827653,RealESRGAN,ava_images___827653.png,dataset/sr/RealESRGAN/ava_images___827653.png,dataset/hr/ava_images___827653.png,dataset/lr/ava_images___827653.png,0.9165533185005188,0.9167037606239319,0.9166285395622253
RealESRGAN:ava_images___842206,RealESRGAN,ava_images___842206.png,dataset/sr/RealESRGAN/ava_images___842206.png,dataset/hr/ava_images___842206.png,dataset/lr/ava_images___842206.png,0.9303452968597412,0.9376883506774902,0.9340168237686157
RealESRGAN:ava_images___846773,RealESRGAN,ava_images___846773.png,dataset/sr/RealESRGAN/ava_images___846773.png,dataset/hr/ava_images___846773.png,dataset/lr/ava_images___846773.png,0.9315383434295654,0.9240908622741699,0.9278146028518677
RealESRGAN:ava_images___857447,RealESRGAN,ava_images___857447.png,dataset/sr/RealESRGAN/ava_images___857447.png,dataset/hr/ava_images___857447.png,dataset/lr/ava_images___857447.png,0.9221656918525696,0.9226270914077759,0.9223963916301727
RealESRGAN:ava_images___864250,RealESRGAN,ava_images___864250.png,dataset/sr/RealESRGAN/ava_images___864250.png,dataset/hr/ava_images___864250.png,dataset/lr/ava_images___864250.png,0.9039293527603149,0.9157699346542358,0.9098496437072754
