name,min,max,mean,median,std,p05,p95,area00,area05,area075
RealESRGAN/voc_emotic_ava___EMOTIC__COCO_train2014_000000247190.npy.gz,0.0,0.2153981328010559,0.1291426718235016,0.13905209302902222,0.05872572213411331,0.0,0.20252186059951782,0.8761682242990654,0.0,0.0
RealESRGAN/voc_emotic_ava___EMOTIC__COCO_val2014_000000020598.npy.gz,0.0,0.2179248034954071,0.10961242765188217,0.12028247117996216,0.05147021263837814,0.0,0.17375612258911133,0.8844339622641509,0.0,0.0
RealESRGAN/voc_emotic_ava___JPEGImages__2008_003883.npy.gz,0.0,0.24769699573516846,0.12267781049013138,0.1267261505126953,0.054464515298604965,0.0,0.19506782293319702,0.9308510638297872,0.0,0.0
RealESRGAN/voc_emotic_ava___VOC2012__2010_004399.npy.gz,0.0,0.2737640142440796,0.12078940868377686,0.10882502794265747,0.06091556325554848,0.0,0.23399442434310913,0.9308510638297872,0.0,0.0
RealESRGAN/voc_emotic_ava___VOC2012__2012_004043.npy.gz,0.0,0.23116624355316162,0.12224765121936798,0.12584742903709412,0.04554356262087822,0.0,0.19679924845695496,0.9375,0.0,0.0
SUPIR/1024x768___4962875195.npy.gz,0.0,0.27879664301872253,0.10903921723365784,0.10448482632637024,0.05373375862836838,0.00035515427589416504,0.21377217769622803,0.95367431640625,0.0,0.0
SUPIR/ava_images___101816.npy.gz,0.0,0.2776971161365509,0.16303107142448425,0.18584829568862915,0.07829494774341583,0.0,0.254042387008667,0.8465011286681715,0.0,0.0
SUPIR/ava_images___158174.npy.gz,0.0,0.20482778549194336,0.07259105145931244,0.07768362760543823,0.05954333022236824,0.0,0.1728304624557495,0.87890625,0.0,0.0
SUPIR/ava_images___18037.npy.gz,0.0,0.2307824194431305,0.0797385647892952,0.07517257332801819,0.04999173432588577,0.0,0.1837095022201538,0.87890625,0.0,0.0
SUPIR/ava_images___217590.npy.gz,0.0,0.23515677452087402,0.05769054964184761,0.045751601457595825,0.04102364182472229,0.0,0.1454305648803711,0.9263833992094862,0.0,0.0
SUPIR/ava_images___251530.npy.gz,0.0,0.28671902418136597,0.19476918876171112,0.21587812900543213,0.07690443098545074,0.0,0.26785874366760254,0.8782201405152225,0.0,0.0
SUPIR/ava_images___253900.npy.gz,0.0,0.27570074796676636,0.11695191264152527,0.11855781078338623,0.06833347678184509,0.0,0.2229587435722351,0.9174792911817133,0.0,0.0
SUPIR/ava_images___273810.npy.gz,0.00220683217048645,0.2310323715209961,0.09043234586715698,0.08467546105384827,0.05244585499167442,0.01154068112373352,0.18087109923362732,1.0,0.0,0.0
SUPIR/ava_images___295451.npy.gz,0.0,0.22213861346244812,0.07597638666629791,0.06239968538284302,0.0577382855117321,0.0,0.1801798939704895,0.8782201405152225,0.0,0.0
SUPIR/ava_images___308473.npy.gz,0.0,0.23412847518920898,0.11765018105506897,0.13601243495941162,0.06799934804439545,0.0,0.21501341462135315,0.8782201405152225,0.0,0.0
SUPIR/ava_images___321917.npy.gz,0.0,0.3305630087852478,0.20509247481822968,0.2397206425666809,0.09911313652992249,0.0,0.2994142174720764,0.8680555555555556,0.0,0.0
